place_id,name,vicinity,geometry.location.lat,geometry.location.lng,types,rating,user_ratings_total,international_phone_number,website,postal_code,locality,country,country_code
ChIJY-OKok_lGRMR4rqa9Ax7aaY,Giuseppe Gioeli Barbiere,"Via Vittorio Emanuele, 313, Palermo",38.11563950000001,13.36119,"['hair_care', 'health', 'point_of_interest', 'establishment']",5.0,116.0,+39 328 021 0019,http://www.giuseppegioelihairstyle.it/,90134,Palermo,Italy,IT
ChIJN14Ds4vlGRMR_BChaNsI_HY,Patricia'S Hair Saloon,"Via del Ponticello, 20, Palermo",38.1138378,13.3617575,"['hair_care', 'point_of_interest', 'establishment']",3.0,1.0,,,90134,Palermo,Italy,IT
ChIJ6wZAMf3lGRMRjvZefgUQXF8,Piero Coiffeur Barbier,"Via del Ponticello, 9, Palermo",38.1141054,13.3622322,"['hair_care', 'point_of_interest', 'establishment']",3.0,1.0,+39 328 845 3967,,90134,Palermo,Italy,IT
ChIJMVbwo4vlGRMRZqrxEn_7yY4,Zabedi Zidan Parrucchieri,"Via Calderai, Palermo",38.1141825,13.3627338,"['hair_care', 'point_of_interest', 'establishment']",4.1,29.0,,,90133,Palermo,Italy,IT
ChIJfdOBOIvlGRMRCKM95LHFVxk,Parrucchiera Schifano Claudio Uomo Donna,"Via Vittorio Emanuele, 248, Palermo",38.1162465,13.3631038,"['hair_care', 'health', 'point_of_interest', 'establishment']",4.2,34.0,+39 091 583860,,90133,Palermo,Italy,IT
ChIJOxWTRIvlGRMR2o44GcVPuTE,Lady Charme,"Via Roma, 202, Palermo",38.1161469,13.3636642,"['beauty_salon', 'hair_care', 'point_of_interest', 'establishment']",4.0,24.0,+39 091 332216,,90133,Palermo,Italy,IT
ChIJVVVRNYvlGRMRRU3xZK5dnGU,Mini Beauty Center,"Piazzetta Franco Franchi e Ciccio Ingrassia, 39/40, Palermo",38.1176474,13.3618319,"['beauty_salon', 'hair_care', 'point_of_interest', 'establishment']",3.9,31.0,+39 327 005 0962,,90100,Palermo,Italy,IT
ChIJ9S322_TlGRMRJdI-Fdo1Hv4,Capelli in Linea di Lo Cascio Angelo,"Via Napoli, 38, Palermo",38.1177307,13.361784,"['hair_care', 'point_of_interest', 'establishment']",4.4,16.0,+39 091 581457,,90133,Palermo,Italy,IT
ChIJ1ypQRvXlGRMRxNiiktdcc8Q,Hairdressers Hair Team of Capizzi Adriano,"Via Maqueda, 331, Palermo",38.1182437,13.3599583,"['beauty_salon', 'hair_care', 'point_of_interest', 'establishment']",4.5,24.0,+39 338 996 1370,http://parrucchieri-hair-team-di-capizzi-adriano.business.site/,90133,Palermo,Italy,IT
ChIJ4abQp2nvGRMRhHv4pJFl3Tc,mohamed sala da barba e parruccheria palermo,"Via Amico Ugo Antonio, 22, Palermo",38.11857629999999,13.3583001,"['hair_care', 'point_of_interest', 'establishment']",5.0,39.0,+39 327 935 4636,https://g.page/r/CYR7-KSRZd03EAs/review,90134,Palermo,Italy,IT
ChIJkXI0T_PlGRMR9OLIUa4jHTA,Parrucchieria Sammarco,"Via Vittorio Emanuele, 155, Palermo",38.1174591,13.3655712,"['hair_care', 'point_of_interest', 'establishment']",4.2,42.0,+39 091 331804,https://www.facebook.com/parruccheriasammarco/,90133,Palermo,Italy,IT
ChIJ_c7ri8HvGRMRWDMBrNEM1Vg,Giampiero,"Via Gioacchino Rossini, 12, Palermo",38.11906879999999,13.3585424,"['hair_care', 'point_of_interest', 'establishment']",,,,,90134,Palermo,Italy,IT
ChIJ8RpTxIzlGRMRAyl-XYmmq8Y,Marika hair styling,"Via Lungarini, 35/37, Palermo",38.1158264,13.366702,"['hair_care', 'point_of_interest', 'establishment']",4.6,104.0,+39 380 355 9547,http://www.dasiro.it/VirtualTour/marika_pa/index.html,90133,Palermo,Italy,IT
ChIJbcQusInlGRMR7gaFz3ujLow,V.R BARBER LUX,"Piazza San Pasquale, 3, Palermo",38.1100911,13.360895,"['hair_care', 'health', 'point_of_interest', 'establishment']",3.0,2.0,,,90134,Palermo,Italy,IT
ChIJlWaDSonlGRMRZh9baZJOHi4,Zabedi Zidan Parrucchieri,"Via Cesare Battisti, 12, Palermo",38.1104813,13.3643554,"['hair_care', 'point_of_interest', 'establishment']",4.6,8.0,,,90134,Palermo,Italy,IT
ChIJXxSF4PLlGRMR4AaTyfWgU8I,Parruccheria uomo Matteo Abbate,"Piazza Marina, 9, Palermo",38.1177678,13.3674331,"['hair_care', 'point_of_interest', 'establishment']",4.8,30.0,+39 091 746 2792,https://parrucchiere-uomo.business.site/,90133,Palermo,Italy,IT
ChIJ6fZRyY7lGRMRovCVU_X6vuk,Punto Uomo Donna,Italy,38.11010739999999,13.3649072,"['hair_care', 'point_of_interest', 'establishment']",3.5,2.0,,,90134,Palermo,Italy,IT
ChIJN4usKInlGRMRR1exf6ovB98,Bramonte Fabio Parrucchieri,"Via Carlo Pisacane, 5, Palermo",38.1095547,13.3638294,"['hair_care', 'spa', 'point_of_interest', 'establishment']",3.8,4.0,+39 320 729 4298,http://fabiohair5.wix.com/fabiobramonte,90127,Palermo,Italy,IT
ChIJQ2Dx0zHvGRMRoMFFF35WDQY,Hair Passion di Francesco,"Via Generale Cadorna Luigi, 39, Palermo",38.1106742,13.3557237,"['hair_care', 'health', 'point_of_interest', 'establishment']",5.0,2.0,+39 320 705 8069,,90134,Palermo,Italy,IT
ChIJrfU44YjlGRMRoviLwxgJEJM,Salvo Bramonte Parruchieri,"Via Carlo Pisacane, 11, Palermo",38.1090943,13.3628182,"['hair_care', 'point_of_interest', 'establishment']",4.7,27.0,+39 091 218144,https://salvatorebramonte.medavita.it/,90127,Palermo,Italy,IT
ChIJrTn5t2DvGRMRnmp748I8kfU,Barbiere Da Guglielmo,"Via Cappuccinelle, 33, Palermo",38.116948,13.3536366,"['hair_care', 'health', 'point_of_interest', 'establishment']",,,,,90134,Palermo,Italy,IT
ChIJjyGeRojlGRMRVqAePMaFV2s,Mimmo Barbiere,"Corso Tukory, 142, Palermo",38.1087395,13.3605325,"['hair_care', 'health', 'point_of_interest', 'establishment']",4.6,5.0,,,90134,Palermo,Italy,IT
