place_id,name,vicinity,geometry.location.lat,geometry.location.lng,types,rating,user_ratings_total,international_phone_number,website,postal_code,locality,country,country_code
ChIJrTn5t2DvGRMRnmp748I8kfU,Barbiere Da Guglielmo,"Via Cappuccinelle, 33, Palermo",38.116948,13.3536366,"['hair_care', 'health', 'point_of_interest', 'establishment']",,,,,90134,Palermo,Italy,IT
ChIJUzdcjl7vGRMRZ0V1eNELo4E,Figaro Di Trudettino Giuseppe,"Via Pignatelli Aragona, 92, Palermo",38.1212793,13.3538605,"['hair_care', 'health', 'point_of_interest', 'establishment']",4.7,31.0,+39 091 784 7407,,90141,Palermo,Italy,IT
ChIJQ5Ff_5jvGRMRssREP9o7LMo,UNI.CO Hair & Beauty Lab,"Piazza Sant'Oliva, 5, Palermo",38.1232996,13.3539231,"['hair_care', 'health', 'store', 'point_of_interest', 'establishment']",4.8,23.0,+39 329 777 5746,https://unico-barber-soap.business.site/?utm_source=gmb&utm_medium=referral,90141,Palermo,Italy,IT
ChIJjyGeRojlGRMRVqAePMaFV2s,Mimmo Barbiere,"Corso Tukory, 142, Palermo",38.1087395,13.3605325,"['hair_care', 'health', 'point_of_interest', 'establishment']",4.6,5.0,,,90134,Palermo,Italy,IT
ChIJv9JyrF7vGRMRSyfIHGuyOSU,Lm Parrucchieri,Italy,38.12311279999999,13.3533538,"['hair_care', 'point_of_interest', 'establishment']",,,,,90141,Palermo,Italy,IT
ChIJ-YcWDF7vGRMRQczRVkhpjuk,Hair Style Mario,"Via Volturno, 90, Palermo",38.1194131,13.3533345,"['hair_care', 'point_of_interest', 'establishment']",4.6,8.0,+39 329 669 8451,https://instagram.com/barbershop_zora?utm_medium=copy_link,90138,Palermo,Italy,IT
ChIJtyBi3GLvGRMRA8_iPFvAHBk,Equipe Arrigo parrucchieri barbieri,"Via Volturno, 21, Palermo",38.1199916,13.3552445,"['hair_care', 'point_of_interest', 'establishment']",5.0,3.0,+39 339 411 6668,,90138,Palermo,Italy,IT
ChIJyeN-DEfvGRMRVJW3UoHYjgE,Opera Le Arti Della Bellezza Di Gangi Gaetano Fabrizio E Donatella,"Piazzale Ungheria, 36, Palermo",38.122301,13.3564275,"['hair_care', 'point_of_interest', 'establishment']",4.1,12.0,+39 091 327218,,90141,Palermo,Italy,IT
ChIJbV8YbmfvGRMRLbRTGfXaiVE,Ricci & Capricci Parrucchieri,"Corso A. Amedeo, 182, Palermo",38.1176511,13.3507724,"['hair_care', 'point_of_interest', 'establishment']",4.6,58.0,+39 091 611 7628,,90138,Palermo,Italy,IT
ChIJ4RtC3Y3lGRMRzg4TUJn_CZk,Studio Mario,"Via Lincoln, 155, Palermo",38.1119028,13.3686623,"['hair_care', 'point_of_interest', 'establishment']",4.4,29.0,+39 091 616 1954,,90133,Palermo,Italy,IT
ChIJFUpu1l3vGRMRCt61TprY1lY,Carmelo&cardillo centro Degradè autorizzato,"Via Villa Filippina, 25, Palermo",38.1204967,13.3526967,"['hair_care', 'point_of_interest', 'establishment']",4.7,23.0,+39 091 321637,,90138,Palermo,Italy,IT
ChIJU8HXOZvvGRMRnyw-saeNQ7w,理发店,"Via Villa Filippina, 4, Palermo",38.1208292,13.3528308,"['hair_care', 'health', 'point_of_interest', 'establishment']",,,,,90138,Palermo,Italy,IT
ChIJuXjrw13vGRMRzCnnc1wdgSc,Beatrix,"Via Nicolò Turrisi, 22, Palermo",38.11995539999999,13.3520308,"['hair_care', 'point_of_interest', 'establishment']",4.2,5.0,,,90138,Palermo,Italy,IT
ChIJYYNre0rvGRMRQyjwVRj_OHM,Ellemme parrucchieri,"Via Paolo Paternostro, 38, Palermo",38.123129,13.3533709,"['hair_care', 'point_of_interest', 'establishment']",5.0,6.0,+39 091 585708,,90141,Palermo,Italy,IT
ChIJ47fcjgTvGRMRoRNKzAnO4WM,Empire barberia palermo,"Via Imera, 31, Palermo",38.116641,13.348864,"['hair_care', 'point_of_interest', 'health', 'establishment']",5.0,32.0,+39 366 332 7853,,90138,Palermo,Italy,IT
ChIJoRi_ifXlGRMRmQEAe5xUQjg,Eliano & Erika - parrucchieri Theatrò Immagine,"Via Salvatore Spinuzza, 55, Palermo",38.12115059999999,13.3588295,"['hair_care', 'point_of_interest', 'establishment']",4.6,57.0,+39 091 611 8527,http://www.theatroimmagine.it/,90133,Palermo,Italy,IT
